==========> Fault Simulation Begins at                    0 
Undetected fault:   SerialFS_TB.FUT._1093_/Y to 1 at               986760
Undetected fault:   SerialFS_TB.FUT._1093_/A to 0 at               986970
Undetected fault:   SerialFS_TB.FUT._1094_/Y to 0 at               987180
Undetected fault:   SerialFS_TB.FUT._1094_/A to 1 at               987390
Undetected fault:   SerialFS_TB.FUT._1094_/B to 1 at               987600
Undetected fault:   SerialFS_TB.FUT._1094_/B to 0 at               987810
Undetected fault:   SerialFS_TB.FUT._1094_/A to 0 at               988020
Undetected fault:   SerialFS_TB.FUT._1094_/Y to 1 at               988230
Undetected fault:   SerialFS_TB.FUT._1096_/Y to 0 at               988440
Undetected fault:   SerialFS_TB.FUT._1096_/A to 1 at               988650
Undetected fault:   SerialFS_TB.FUT._1096_/Y to 1 at               988860
Undetected fault:   SerialFS_TB.FUT._1096_/A to 0 at               989070
Undetected fault:   SerialFS_TB.FUT._1097_/Y to 0 at               989280
Undetected fault:   SerialFS_TB.FUT._1097_/A to 1 at               989490
Undetected fault:   SerialFS_TB.FUT._1098_/B to 0 at               989700
Undetected fault:   SerialFS_TB.FUT._1098_/A to 0 at               989910
Undetected fault:   SerialFS_TB.FUT._1098_/Y to 1 at               990120
Undetected fault:   SerialFS_TB.FUT._1098_/Y to 0 at               990330
Undetected fault:   SerialFS_TB.FUT._1098_/B to 1 at               990540
Undetected fault:   SerialFS_TB.FUT._1098_/A to 1 at               990750
Undetected fault:   SerialFS_TB.FUT._1097_/Y to 1 at               990960
Undetected fault:   SerialFS_TB.FUT._1097_/A to 0 at               991170
Undetected fault:   SerialFS_TB.FUT._1099_/Y to 1 at               991590
Undetected fault:   SerialFS_TB.FUT._1099_/A to 0 at               991800
Undetected fault:   SerialFS_TB.FUT._1099_/B to 0 at               992010
Undetected fault:   SerialFS_TB.FUT._1100_/Y to 0 at               992220
Undetected fault:   SerialFS_TB.FUT._1100_/A to 1 at               992430
Undetected fault:   SerialFS_TB.FUT._1103_/B to 0 at               992640
Undetected fault:   SerialFS_TB.FUT._1103_/Y to 1 at               992850
Undetected fault:   SerialFS_TB.FUT._1101_/A to 1 at               993060
Undetected fault:   SerialFS_TB.FUT._1102_/Y to 0 at               993270
Undetected fault:   SerialFS_TB.FUT._1102_/A to 1 at               993480
Undetected fault:   SerialFS_TB.FUT._1101_/Y to 1 at               993690
Undetected fault:   SerialFS_TB.FUT._1101_/B to 0 at               993900
Undetected fault:   SerialFS_TB.FUT._1103_/A to 0 at               994320
Undetected fault:   SerialFS_TB.FUT._1100_/B to 0 at               994530
Undetected fault:   SerialFS_TB.FUT._1104_/Y to 0 at               996420
Undetected fault:   SerialFS_TB.FUT._1104_/A to 1 at               996630
Undetected fault:   SerialFS_TB.FUT._1104_/Y to 1 at               996840
Undetected fault:   SerialFS_TB.FUT._1107_/Y to 1 at               997260
Undetected fault:   SerialFS_TB.FUT._1107_/A to 0 at               997470
Undetected fault:   SerialFS_TB.FUT._1107_/B to 0 at               997680
Undetected fault:   SerialFS_TB.FUT._1106_/Y to 0 at               997890
Undetected fault:   SerialFS_TB.FUT._1105_/Y to 0 at               998100
Undetected fault:   SerialFS_TB.FUT._1106_/A to 1 at               998520
Undetected fault:   SerialFS_TB.FUT._1105_/A to 1 at               999780
Undetected fault:   SerialFS_TB.FUT._1105_/Y to 1 at               999990
Undetected fault:   SerialFS_TB.FUT._1105_/A to 0 at              1000200
Undetected fault:   SerialFS_TB.FUT._1105_/B to 0 at              1000410
Undetected fault:   SerialFS_TB.FUT._1107_/B to 1 at              1000620
Undetected fault:   SerialFS_TB.FUT._1108_/Y to 0 at              1000830
Undetected fault:   SerialFS_TB.FUT._1108_/A to 1 at              1001040
Undetected fault:   SerialFS_TB.FUT._1108_/B to 1 at              1001250
Undetected fault:   SerialFS_TB.FUT._1110_/B to 0 at              1001460
Undetected fault:   SerialFS_TB.FUT._1109_/B to 0 at              1001670
Undetected fault:   SerialFS_TB.FUT._1108_/A to 0 at              1002090
Undetected fault:   SerialFS_TB.FUT._1114_/Y to 1 at              1003350
Undetected fault:   SerialFS_TB.FUT._1114_/B to 0 at              1003560
Undetected fault:   SerialFS_TB.FUT._1114_/A to 0 at              1003770
Undetected fault:   SerialFS_TB.FUT._1111_/Y to 0 at              1003980
Undetected fault:   SerialFS_TB.FUT._1113_/Y to 0 at              1004190
Undetected fault:   SerialFS_TB.FUT._1111_/B to 1 at              1004820
Undetected fault:   SerialFS_TB.FUT._1115_/Y to 0 at              1006290
Undetected fault:   SerialFS_TB.FUT._1115_/B to 1 at              1006500
Undetected fault:   SerialFS_TB.FUT._1115_/A to 1 at              1006710
Undetected fault:   SerialFS_TB.FUT._1120_/B to 0 at              1006920
Undetected fault:   SerialFS_TB.FUT._1119_/A to 0 at              1007340
Undetected fault:   SerialFS_TB.FUT._1117_/Y to 0 at              1010070
Undetected fault:   SerialFS_TB.FUT._1117_/B to 1 at              1010280
Undetected fault:   SerialFS_TB.FUT._1118_/A to 0 at              1010490
Undetected fault:   SerialFS_TB.FUT._1118_/Y to 0 at              1010700
Undetected fault:   SerialFS_TB.FUT._1118_/B to 1 at              1010910
Undetected fault:   SerialFS_TB.FUT._1118_/A to 1 at              1011120
Undetected fault:   SerialFS_TB.FUT._1116_/Y to 1 at              1011330
Undetected fault:   SerialFS_TB.FUT._1117_/Y to 1 at              1011540
Undetected fault:   SerialFS_TB.FUT._1129_/Y to 1 at              1011750
Undetected fault:   SerialFS_TB.FUT._1129_/B to 0 at              1011960
Undetected fault:   SerialFS_TB.FUT._1129_/A to 0 at              1012170
Undetected fault:   SerialFS_TB.FUT._1121_/Y to 0 at              1012380
Undetected fault:   SerialFS_TB.FUT._1128_/Y to 0 at              1012590
Undetected fault:   SerialFS_TB.FUT._1130_/A to 1 at              1012800
Undetected fault:   SerialFS_TB.FUT._1130_/B to 1 at              1013010
Undetected fault:   SerialFS_TB.FUT._1130_/Y to 0 at              1013220
Undetected fault:   SerialFS_TB.FUT._1130_/Y to 1 at              1013430
Undetected fault:   SerialFS_TB.FUT._1130_/B to 0 at              1013640
Undetected fault:   SerialFS_TB.FUT._1130_/A to 0 at              1013850
Undetected fault:   SerialFS_TB.FUT._1129_/Y to 0 at              1014060
Undetected fault:   SerialFS_TB.FUT._1128_/B to 1 at              1014270
Undetected fault:   SerialFS_TB.FUT._1128_/A to 1 at              1014480
Undetected fault:   SerialFS_TB.FUT._1128_/Y to 1 at              1014690
Undetected fault:   SerialFS_TB.FUT._1128_/B to 0 at              1014900
Undetected fault:   SerialFS_TB.FUT._1129_/A to 1 at              1015320
Undetected fault:   SerialFS_TB.FUT._1121_/B to 1 at              1015530
Undetected fault:   SerialFS_TB.FUT._1121_/Y to 1 at              1015950
Undetected fault:   SerialFS_TB.FUT._1129_/B to 1 at              1016370
Undetected fault:   SerialFS_TB.FUT._1122_/Y to 0 at              1016580
Undetected fault:   SerialFS_TB.FUT._1122_/A to 1 at              1016790
Undetected fault:   SerialFS_TB.FUT._1124_/B to 0 at              1017000
Undetected fault:   SerialFS_TB.FUT._1124_/Y to 1 at              1017210
Undetected fault:   SerialFS_TB.FUT._1123_/B to 0 at              1017420
Undetected fault:   SerialFS_TB.FUT._1123_/A to 0 at              1017630
Undetected fault:   SerialFS_TB.FUT._1123_/Y to 0 at              1017840
Undetected fault:   SerialFS_TB.FUT._1123_/A to 1 at              1018050
Undetected fault:   SerialFS_TB.FUT._1124_/A to 0 at              1018470
Undetected fault:   SerialFS_TB.FUT._1124_/Y to 0 at              1019100
Undetected fault:   SerialFS_TB.FUT._1124_/A to 1 at              1019310
Undetected fault:   SerialFS_TB.FUT._1124_/B to 1 at              1019520
Undetected fault:   SerialFS_TB.FUT._1123_/Y to 1 at              1019730
Undetected fault:   SerialFS_TB.FUT._1122_/Y to 1 at              1019940
Undetected fault:   SerialFS_TB.FUT._1127_/Y to 1 at              1020150
Undetected fault:   SerialFS_TB.FUT._1127_/A to 0 at              1020360
Undetected fault:   SerialFS_TB.FUT._1127_/B to 0 at              1020570
Undetected fault:   SerialFS_TB.FUT._1126_/Y to 0 at              1020780
Undetected fault:   SerialFS_TB.FUT._1125_/Y to 0 at              1020990
Undetected fault:   SerialFS_TB.FUT._1126_/B to 1 at              1021410
Undetected fault:   SerialFS_TB.FUT._1126_/A to 1 at              1021620
Undetected fault:   SerialFS_TB.FUT._1125_/Y to 1 at              1022880
Undetected fault:   SerialFS_TB.FUT._1125_/A to 0 at              1023090
Undetected fault:   SerialFS_TB.FUT._1127_/B to 1 at              1023300
Undetected fault:   SerialFS_TB.FUT._1138_/Y to 1 at              1023510
Undetected fault:   SerialFS_TB.FUT._1138_/B to 0 at              1023720
Undetected fault:   SerialFS_TB.FUT._1138_/A to 0 at              1023930
Undetected fault:   SerialFS_TB.FUT._1131_/Y to 0 at              1024140
Undetected fault:   SerialFS_TB.FUT._1137_/Y to 0 at              1024350
Undetected fault:   SerialFS_TB.FUT._1138_/Y to 0 at              1024560
Undetected fault:   SerialFS_TB.FUT._1137_/B to 1 at              1024770
Undetected fault:   SerialFS_TB.FUT._1137_/A to 1 at              1024980
Undetected fault:   SerialFS_TB.FUT._1137_/Y to 1 at              1025190
Undetected fault:   SerialFS_TB.FUT._1137_/A to 0 at              1025400
Undetected fault:   SerialFS_TB.FUT._1137_/B to 0 at              1025610
Undetected fault:   SerialFS_TB.FUT._1138_/A to 1 at              1025820
Undetected fault:   SerialFS_TB.FUT._1131_/B to 1 at              1026030
Undetected fault:   SerialFS_TB.FUT._1131_/A to 1 at              1026240
Undetected fault:   SerialFS_TB.FUT._1131_/Y to 1 at              1026450
Undetected fault:   SerialFS_TB.FUT._1131_/B to 0 at              1026660
Undetected fault:   SerialFS_TB.FUT._1131_/A to 0 at              1026870
Undetected fault:   SerialFS_TB.FUT._1138_/B to 1 at              1027080
Undetected fault:   SerialFS_TB.FUT._1132_/Y to 0 at              1027290
Undetected fault:   SerialFS_TB.FUT._1132_/A to 1 at              1027500
Undetected fault:   SerialFS_TB.FUT._1132_/Y to 1 at              1027710
Undetected fault:   SerialFS_TB.FUT._1132_/A to 0 at              1027920
Undetected fault:   SerialFS_TB.FUT._1133_/Y to 0 at              1028130
Undetected fault:   SerialFS_TB.FUT._1133_/B to 1 at              1028340
Undetected fault:   SerialFS_TB.FUT._1133_/A to 1 at              1028550
Undetected fault:   SerialFS_TB.FUT._1135_/B to 0 at              1028760
Undetected fault:   SerialFS_TB.FUT._1135_/Y to 1 at              1028970
Undetected fault:   SerialFS_TB.FUT._1134_/Y to 0 at              1029390
Undetected fault:   SerialFS_TB.FUT._1134_/B to 1 at              1029600
Undetected fault:   SerialFS_TB.FUT._1135_/A to 0 at              1030020
Undetected fault:   SerialFS_TB.FUT._1133_/B to 0 at              1030230
Undetected fault:   SerialFS_TB.FUT._1136_/Y to 0 at              1031700
Undetected fault:   SerialFS_TB.FUT._1136_/B to 1 at              1031910
Undetected fault:   SerialFS_TB.FUT._1136_/A to 1 at              1032120
Undetected fault:   SerialFS_TB.FUT._1136_/B to 0 at              1032330
Undetected fault:   SerialFS_TB.FUT._1136_/Y to 1 at              1032750
Undetected fault:   SerialFS_TB.FUT._1139_/Y to 0 at              1032960
Undetected fault:   SerialFS_TB.FUT._1139_/B to 1 at              1033170
Undetected fault:   SerialFS_TB.FUT._1139_/A to 1 at              1033380
Undetected fault:   SerialFS_TB.FUT._1139_/Y to 1 at              1033590
Undetected fault:   SerialFS_TB.FUT._1139_/A to 0 at              1033800
Undetected fault:   SerialFS_TB.FUT._1139_/B to 0 at              1034010
Undetected fault:   SerialFS_TB.FUT._1140_/Y to 0 at              1034220
Undetected fault:   SerialFS_TB.FUT._1140_/A to 1 at              1034430
Undetected fault:   SerialFS_TB.FUT._1140_/B to 1 at              1034640
Undetected fault:   SerialFS_TB.FUT._1140_/B to 0 at              1034850
Undetected fault:   SerialFS_TB.FUT._1140_/A to 0 at              1035060
Undetected fault:   SerialFS_TB.FUT._1140_/Y to 1 at              1035270
Undetected fault:   SerialFS_TB.FUT._1141_/Y to 0 at              1035480
Undetected fault:   SerialFS_TB.FUT._1141_/B to 1 at              1035690
Undetected fault:   SerialFS_TB.FUT._1141_/A to 1 at              1035900
Undetected fault:   SerialFS_TB.FUT._1141_/Y to 1 at              1036110
Undetected fault:   SerialFS_TB.FUT._1141_/A to 0 at              1036320
Undetected fault:   SerialFS_TB.FUT._1141_/B to 0 at              1036530
Undetected fault:   SerialFS_TB.FUT._1142_/Y to 0 at              1036740
Undetected fault:   SerialFS_TB.FUT._1142_/A to 1 at              1036950
Undetected fault:   SerialFS_TB.FUT._1142_/B to 1 at              1037160
Undetected fault:   SerialFS_TB.FUT._1142_/B to 0 at              1037370
Undetected fault:   SerialFS_TB.FUT._1142_/A to 0 at              1037580
Undetected fault:   SerialFS_TB.FUT._1164_/A to 0 at              1037790
Undetected fault:   SerialFS_TB.FUT._1164_/Y to 0 at              1038000
Undetected fault:   SerialFS_TB.FUT._1164_/B to 1 at              1038210
Undetected fault:   SerialFS_TB.FUT._1164_/A to 1 at              1038420
Undetected fault:   SerialFS_TB.FUT._1165_/A to 0 at              1038630
Undetected fault:   SerialFS_TB.FUT._1143_/B to 0 at              1038840
Undetected fault:   SerialFS_TB.FUT._1143_/A to 0 at              1039050
Undetected fault:   SerialFS_TB.FUT.N2753 to 0 at              1039260
Undetected fault:   SerialFS_TB.FUT._1165_/Y to 0 at              1039470
Undetected fault:   SerialFS_TB.FUT._1165_/B to 1 at              1039680
Undetected fault:   SerialFS_TB.FUT._1165_/A to 1 at              1039890
Undetected fault:   SerialFS_TB.FUT._1143_/Y to 1 at              1040100
Undetected fault:   SerialFS_TB.FUT._1164_/Y to 1 at              1040310
Undetected fault:   SerialFS_TB.FUT._1146_/Y to 1 at              1040520
Undetected fault:   SerialFS_TB.FUT._1146_/A to 0 at              1040730
Undetected fault:   SerialFS_TB.FUT._1146_/B to 0 at              1040940
Undetected fault:   SerialFS_TB.FUT._1145_/Y to 0 at              1041150
Undetected fault:   SerialFS_TB.FUT._1144_/Y to 0 at              1041360
Undetected fault:   SerialFS_TB.FUT._1146_/Y to 0 at              1041570
Undetected fault:   SerialFS_TB.FUT._1145_/B to 1 at              1041780
Undetected fault:   SerialFS_TB.FUT._1145_/A to 1 at              1041990
Undetected fault:   SerialFS_TB.FUT._1145_/Y to 1 at              1042200
Undetected fault:   SerialFS_TB.FUT._1145_/B to 0 at              1042410
Undetected fault:   SerialFS_TB.FUT._1145_/A to 0 at              1042620
Undetected fault:   SerialFS_TB.FUT._1146_/A to 1 at              1042830
Undetected fault:   SerialFS_TB.FUT._1144_/B to 1 at              1043040
Undetected fault:   SerialFS_TB.FUT._1144_/A to 1 at              1043250
Undetected fault:   SerialFS_TB.FUT._1144_/Y to 1 at              1043460
Undetected fault:   SerialFS_TB.FUT._1144_/A to 0 at              1043670
Undetected fault:   SerialFS_TB.FUT._1144_/B to 0 at              1043880
Undetected fault:   SerialFS_TB.FUT._1146_/B to 1 at              1044090
Undetected fault:   SerialFS_TB.FUT._1149_/Y to 1 at              1044300
Undetected fault:   SerialFS_TB.FUT._1149_/A to 0 at              1044510
Undetected fault:   SerialFS_TB.FUT._1149_/B to 0 at              1044720
Undetected fault:   SerialFS_TB.FUT._1148_/Y to 0 at              1044930
Undetected fault:   SerialFS_TB.FUT._1147_/Y to 0 at              1045140
Undetected fault:   SerialFS_TB.FUT._1149_/Y to 0 at              1045350
Undetected fault:   SerialFS_TB.FUT._1148_/B to 1 at              1045560
Undetected fault:   SerialFS_TB.FUT._1148_/A to 1 at              1045770
Undetected fault:   SerialFS_TB.FUT._1148_/Y to 1 at              1045980
Undetected fault:   SerialFS_TB.FUT._1148_/B to 0 at              1046190
Undetected fault:   SerialFS_TB.FUT._1148_/A to 0 at              1046400
Undetected fault:   SerialFS_TB.FUT._1149_/A to 1 at              1046610
Undetected fault:   SerialFS_TB.FUT._1147_/B to 1 at              1046820
Undetected fault:   SerialFS_TB.FUT._1147_/A to 1 at              1047030
Undetected fault:   SerialFS_TB.FUT._1147_/Y to 1 at              1047240
Undetected fault:   SerialFS_TB.FUT._1147_/A to 0 at              1047450
Undetected fault:   SerialFS_TB.FUT._1147_/B to 0 at              1047660
Undetected fault:   SerialFS_TB.FUT._1149_/B to 1 at              1047870
Undetected fault:   SerialFS_TB.FUT._1150_/Y to 0 at              1048080
Undetected fault:   SerialFS_TB.FUT._1150_/B to 1 at              1048290
Undetected fault:   SerialFS_TB.FUT._1150_/A to 1 at              1048500
Undetected fault:   SerialFS_TB.FUT._1150_/Y to 1 at              1048710
Undetected fault:   SerialFS_TB.FUT._1150_/A to 0 at              1048920
Undetected fault:   SerialFS_TB.FUT._1150_/B to 0 at              1049130
Undetected fault:   SerialFS_TB.FUT._1151_/Y to 0 at              1049340
Undetected fault:   SerialFS_TB.FUT._1151_/A to 1 at              1049550
Undetected fault:   SerialFS_TB.FUT._1151_/B to 1 at              1049760
Undetected fault:   SerialFS_TB.FUT._1151_/B to 0 at              1049970
Undetected fault:   SerialFS_TB.FUT._1151_/A to 0 at              1050180
Undetected fault:   SerialFS_TB.FUT._1151_/Y to 1 at              1050390
Undetected fault:   SerialFS_TB.FUT._1152_/Y to 0 at              1050600
Undetected fault:   SerialFS_TB.FUT._1152_/A to 1 at              1050810
Undetected fault:   SerialFS_TB.FUT._1152_/Y to 1 at              1051020
Undetected fault:   SerialFS_TB.FUT._1152_/A to 0 at              1051230
Undetected fault:   SerialFS_TB.FUT._1153_/Y to 0 at              1051440
Undetected fault:   SerialFS_TB.FUT._1153_/A to 1 at              1051650
Undetected fault:   SerialFS_TB.FUT._1153_/B to 1 at              1051860
Undetected fault:   SerialFS_TB.FUT._1155_/B to 0 at              1052070
Undetected fault:   SerialFS_TB.FUT._1155_/Y to 1 at              1052280
Undetected fault:   SerialFS_TB.FUT._1154_/B to 0 at              1052490
Undetected fault:   SerialFS_TB.FUT._1154_/A to 0 at              1052700
Undetected fault:   SerialFS_TB.FUT._1154_/Y to 0 at              1052910
Undetected fault:   SerialFS_TB.FUT._1154_/B to 1 at              1053120
Undetected fault:   SerialFS_TB.FUT._1154_/A to 1 at              1053330
Undetected fault:   SerialFS_TB.FUT._1155_/A to 0 at              1053540
Undetected fault:   SerialFS_TB.FUT._1153_/B to 0 at              1053750
Undetected fault:   SerialFS_TB.FUT._1153_/A to 0 at              1053960
Undetected fault:   SerialFS_TB.FUT._1155_/Y to 0 at              1054170
Undetected fault:   SerialFS_TB.FUT._1155_/A to 1 at              1054380
Undetected fault:   SerialFS_TB.FUT._1155_/B to 1 at              1054590
Undetected fault:   SerialFS_TB.FUT._1154_/Y to 1 at              1054800
Undetected fault:   SerialFS_TB.FUT._1153_/Y to 1 at              1055010
Undetected fault:   SerialFS_TB.FUT._1156_/Y to 0 at              1055220
Undetected fault:   SerialFS_TB.FUT._1156_/A to 1 at              1055430
Undetected fault:   SerialFS_TB.FUT._1156_/B to 1 at              1055640
Undetected fault:   SerialFS_TB.FUT._1156_/B to 0 at              1055850
Undetected fault:   SerialFS_TB.FUT._1156_/A to 0 at              1056060
Undetected fault:   SerialFS_TB.FUT._1156_/Y to 1 at              1056270
Undetected fault:   SerialFS_TB.FUT._1157_/Y to 0 at              1056480
Undetected fault:   SerialFS_TB.FUT._1157_/B to 1 at              1056690
Undetected fault:   SerialFS_TB.FUT._1157_/A to 1 at              1056900
Undetected fault:   SerialFS_TB.FUT._1159_/B to 0 at              1057110
Undetected fault:   SerialFS_TB.FUT._1159_/Y to 1 at              1057320
Undetected fault:   SerialFS_TB.FUT._1158_/B to 0 at              1057530
Undetected fault:   SerialFS_TB.FUT._1158_/A to 0 at              1057740
Undetected fault:   SerialFS_TB.FUT._1158_/Y to 0 at              1057950
Undetected fault:   SerialFS_TB.FUT._1158_/A to 1 at              1058160
Undetected fault:   SerialFS_TB.FUT._1158_/B to 1 at              1058370
Undetected fault:   SerialFS_TB.FUT._1159_/A to 0 at              1058580
Undetected fault:   SerialFS_TB.FUT._1157_/B to 0 at              1058790
Undetected fault:   SerialFS_TB.FUT._1157_/A to 0 at              1059000
Undetected fault:   SerialFS_TB.FUT._1159_/Y to 0 at              1059210
Undetected fault:   SerialFS_TB.FUT._1159_/B to 1 at              1059420
Undetected fault:   SerialFS_TB.FUT._1159_/A to 1 at              1059630
Undetected fault:   SerialFS_TB.FUT._1157_/Y to 1 at              1059840
Undetected fault:   SerialFS_TB.FUT._1158_/Y to 1 at              1060050
Undetected fault:   SerialFS_TB.FUT._1160_/Y to 0 at              1060260
Undetected fault:   SerialFS_TB.FUT._1160_/A to 1 at              1060470
Undetected fault:   SerialFS_TB.FUT._1160_/B to 1 at              1060680
Undetected fault:   SerialFS_TB.FUT._1160_/B to 0 at              1060890
Undetected fault:   SerialFS_TB.FUT._1160_/A to 0 at              1061100
Undetected fault:   SerialFS_TB.FUT._1160_/Y to 1 at              1061310
Undetected fault:   SerialFS_TB.FUT._1161_/Y to 0 at              1061520
Undetected fault:   SerialFS_TB.FUT._1161_/B to 1 at              1061730
Undetected fault:   SerialFS_TB.FUT._1161_/A to 1 at              1061940
Undetected fault:   SerialFS_TB.FUT._1161_/Y to 1 at              1062150
Undetected fault:   SerialFS_TB.FUT._1161_/A to 0 at              1062360
Undetected fault:   SerialFS_TB.FUT._1161_/B to 0 at              1062570
Undetected fault:   SerialFS_TB.FUT._1162_/Y to 0 at              1062780
Undetected fault:   SerialFS_TB.FUT._1162_/A to 1 at              1062990
Undetected fault:   SerialFS_TB.FUT._1162_/B to 1 at              1063200
Undetected fault:   SerialFS_TB.FUT._1162_/B to 0 at              1063410
Undetected fault:   SerialFS_TB.FUT._1162_/A to 0 at              1063620
Undetected fault:   SerialFS_TB.FUT._1162_/Y to 1 at              1063830
Undetected fault:   SerialFS_TB.FUT._1163_/Y to 0 at              1064040
Undetected fault:   SerialFS_TB.FUT._1163_/B to 1 at              1064250
Undetected fault:   SerialFS_TB.FUT._1163_/A to 1 at              1064460
Undetected fault:   SerialFS_TB.FUT._1163_/Y to 1 at              1064670
Undetected fault:   SerialFS_TB.FUT._1163_/A to 0 at              1064880
Undetected fault:   SerialFS_TB.FUT._1163_/B to 0 at              1065090
Undetected fault:   SerialFS_TB.FUT._1166_/Y to 0 at              1065300
Undetected fault:   SerialFS_TB.FUT._1166_/B to 1 at              1065510
Undetected fault:   SerialFS_TB.FUT._1166_/A to 1 at              1065720
Undetected fault:   SerialFS_TB.FUT._1166_/Y to 1 at              1065930
Undetected fault:   SerialFS_TB.FUT._1166_/A to 0 at              1066140
Undetected fault:   SerialFS_TB.FUT._1166_/B to 0 at              1066350
Undetected fault:   SerialFS_TB.FUT._1167_/Y to 0 at              1066560
Undetected fault:   SerialFS_TB.FUT._1167_/A to 1 at              1066770
Undetected fault:   SerialFS_TB.FUT._1167_/B to 1 at              1066980
Undetected fault:   SerialFS_TB.FUT._1167_/B to 0 at              1067190
Undetected fault:   SerialFS_TB.FUT._1167_/A to 0 at              1067400
Undetected fault:   SerialFS_TB.FUT._1167_/Y to 1 at              1067610
Undetected fault:   SerialFS_TB.FUT._1168_/Y to 0 at              1067820
Undetected fault:   SerialFS_TB.FUT._1168_/A to 1 at              1068030
Undetected fault:   SerialFS_TB.FUT._1168_/B to 1 at              1068240
Undetected fault:   SerialFS_TB.FUT._1170_/B to 0 at              1068450
Undetected fault:   SerialFS_TB.FUT._1170_/Y to 1 at              1068660
Undetected fault:   SerialFS_TB.FUT._1169_/B to 0 at              1068870
Undetected fault:   SerialFS_TB.FUT._1169_/A to 0 at              1069080
Undetected fault:   SerialFS_TB.FUT._1169_/Y to 0 at              1069290
Undetected fault:   SerialFS_TB.FUT._1169_/B to 1 at              1069500
Undetected fault:   SerialFS_TB.FUT._1169_/A to 1 at              1069710
Undetected fault:   SerialFS_TB.FUT._1170_/A to 0 at              1069920
Undetected fault:   SerialFS_TB.FUT._1168_/B to 0 at              1070130
Undetected fault:   SerialFS_TB.FUT._1168_/A to 0 at              1070340
Undetected fault:   SerialFS_TB.FUT._1170_/Y to 0 at              1070550
Undetected fault:   SerialFS_TB.FUT._1170_/A to 1 at              1070760
Undetected fault:   SerialFS_TB.FUT._1170_/B to 1 at              1070970
Undetected fault:   SerialFS_TB.FUT._1169_/Y to 1 at              1071180
Undetected fault:   SerialFS_TB.FUT._1168_/Y to 1 at              1071390
Undetected fault:   SerialFS_TB.FUT._1171_/Y to 0 at              1071600
Undetected fault:   SerialFS_TB.FUT._1171_/B to 1 at              1071810
Undetected fault:   SerialFS_TB.FUT._1171_/A to 1 at              1072020
Undetected fault:   SerialFS_TB.FUT._1171_/Y to 1 at              1072230
Undetected fault:   SerialFS_TB.FUT._1171_/B to 0 at              1072440
Undetected fault:   SerialFS_TB.FUT._1171_/A to 0 at              1072650
Undetected fault:   SerialFS_TB.FUT._1172_/Y to 0 at              1072860
Undetected fault:   SerialFS_TB.FUT._1172_/A to 1 at              1073070
Undetected fault:   SerialFS_TB.FUT._1172_/B to 1 at              1073280
Undetected fault:   SerialFS_TB.FUT._1172_/B to 0 at              1073490
Undetected fault:   SerialFS_TB.FUT._1172_/A to 0 at              1073700
Undetected fault:   SerialFS_TB.FUT._1172_/Y to 1 at              1073910
Undetected fault:   SerialFS_TB.FUT._1173_/B to 1 at              1074120
Undetected fault:   SerialFS_TB.FUT._1173_/A to 1 at              1074330
Undetected fault:   SerialFS_TB.FUT._1173_/Y to 1 at              1074540
Undetected fault:   SerialFS_TB.FUT._1173_/A to 0 at              1074750
Undetected fault:   SerialFS_TB.FUT._1173_/B to 0 at              1074960
Undetected fault:   SerialFS_TB.FUT._1182_/B to 1 at              1076430
Undetected fault:   SerialFS_TB.FUT._1182_/Y to 1 at              1076850
Undetected fault:   SerialFS_TB.FUT._1182_/A to 0 at              1077270
Undetected fault:   SerialFS_TB.FUT._1183_/A to 1 at              1077480
Undetected fault:   SerialFS_TB.FUT._1174_/A to 1 at              1077900
Undetected fault:   SerialFS_TB.FUT._1175_/Y to 0 at              1078110
Undetected fault:   SerialFS_TB.FUT._1175_/A to 1 at              1078320
Undetected fault:   SerialFS_TB.FUT._1175_/Y to 1 at              1078530
Undetected fault:   SerialFS_TB.FUT._1175_/A to 0 at              1078740
Undetected fault:   SerialFS_TB.FUT._1176_/Y to 0 at              1078950
Undetected fault:   SerialFS_TB.FUT._1176_/A to 1 at              1079160
Undetected fault:   SerialFS_TB.FUT._1176_/B to 1 at              1079370
Undetected fault:   SerialFS_TB.FUT._1178_/B to 0 at              1079580
Undetected fault:   SerialFS_TB.FUT._1178_/Y to 1 at              1079790
Undetected fault:   SerialFS_TB.FUT._1177_/B to 0 at              1080000
Undetected fault:   SerialFS_TB.FUT._1177_/A to 0 at              1080210
Undetected fault:   SerialFS_TB.FUT._1177_/Y to 0 at              1080420
Undetected fault:   SerialFS_TB.FUT._1177_/B to 1 at              1080630
Undetected fault:   SerialFS_TB.FUT._1177_/A to 1 at              1080840
Undetected fault:   SerialFS_TB.FUT._1178_/A to 0 at              1081050
Undetected fault:   SerialFS_TB.FUT._1176_/B to 0 at              1081260
Undetected fault:   SerialFS_TB.FUT._1176_/A to 0 at              1081470
Undetected fault:   SerialFS_TB.FUT._1178_/Y to 0 at              1081680
Undetected fault:   SerialFS_TB.FUT._1178_/A to 1 at              1081890
Undetected fault:   SerialFS_TB.FUT._1178_/B to 1 at              1082100
Undetected fault:   SerialFS_TB.FUT._1177_/Y to 1 at              1082310
Undetected fault:   SerialFS_TB.FUT._1176_/Y to 1 at              1082520
Undetected fault:   SerialFS_TB.FUT._1179_/Y to 0 at              1082730
Undetected fault:   SerialFS_TB.FUT._1179_/B to 1 at              1082940
